Player,Batting-Bowling Avg Diff,All-Round Ind
A Flintoff (1999-2009),8.35,1
PD Collingwood (2001-2011),-3.32,1
IT Botham (1976-1992),-5.32,1
SR Watson (2002-2015),8.74,1
A Symonds (1998-2009),2.49,1
SR Waugh (1986-2002),-1.76,1
JH Kallis (1996-2014),13.26,1
L Klusener (1996-2004),11.15,1
WJ Cronje (1992-2000),3.85,1
SM Pollock (1996-2008),1.02,1
IVA Richards (1975-1991),11.16,1
CH Gayle (1999-2018),2.48,1
CL Hooper (1987-2003),-0.70,1
DJ Bravo (2004-2014),-4.15,1
SB Styris (1999-2011),-2.83,1
CL Cairns (1991-2006),-3.55,1
JDP Oram (2001-2012),-5.07,1
CZ Harris (1990-2004),-8.50,1
SR Tendulkar (1989-2012),0.35,1
Yuvraj Singh (2000-2017),-1.94,1
N Kapil Dev (1978-1994),-3.65,1
RJ Shastri (1981-1992),-6.99,1
Imran Khan (1974-1992),6.79,1
Abdul Razzaq (1996-2011),-1.59,1
Shoaib Malik (1999-2018),-3.42,1
Mohammad Hafeez (2003-2018),-4.07,1
Mudassar Nazar (1977-1989),-5.65,1
Shahid Afridi (1996-2015),-10.71,1
AD Mathews (2008-2018),7.64,1
ST Jayasuriya (1989-2011),-4.16,1
PA de Silva (1984-2003),-4.50,1
TM Dilshan (1999-2016),-5.80,1
HH Streak (1993-2005),-1.36,1
GW Flower (1992-2010),-7.09,1
Shakib Al Hasan (2006-2018),5.48,1
"KJ O'Brien (2006-2018)",-0.22,1
Mohammad Nabi (2009-2018),-2.25,1
