Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,200+ Wickets Taken,<35.00 Bowling Avg,<4.00 Economy Rate,<40.00 Bowling Strike Rate
JM Anderson (2002-2015),191,9584,7861,269,5/23,29.22,4.92,35.6,11,2,1,1,0,1
D Gough (1994-2006),155,8422,6154,234,5/44,26.29,4.38,35.9,10,2,1,1,0,1
SCJ Broad (2006-2016),121,6109,5364,178,5/23,30.13,5.26,34.3,9,1,0,1,0,1
A Flintoff (1999-2009),116,5496,3968,168,5/19,23.61,4.33,32.7,6,2,0,1,0,1
IT Botham (1976-1992),115,6271,4139,145,4/31,28.54,3.96,43.2,3,0,0,1,1,0
PAJ DeFreitas (1987-1997),103,5712,3775,115,4/35,32.82,3.96,49.6,1,0,0,1,1,0
PD Collingwood (2001-2011),151,5186,4294,111,6/31,38.68,4.96,46.7,3,1,0,0,0,0
TT Bresnan (2006-2015),84,4221,3813,109,5/48,34.98,5.42,38.7,3,1,0,1,0,1
CR Woakes (2011-2018),74,3654,3355,109,6/45,30.77,5.50,33.5,8,2,0,1,0,1
LE Plunkett (2005-2018),66,3230,3149,105,5/52,29.99,5.84,30.7,3,1,0,1,0,1
GP Swann (2000-2013),76,3809,2888,104,5/28,27.76,4.54,36.6,3,1,0,1,0,1
ST Finn (2011-2017),67,3550,2996,102,5/33,29.37,5.06,34.8,4,2,0,1,0,1
AU Rashid (2009-2018),63,3382,3110,97,5/27,32.06,5.51,34.8,5,1,0,1,0,1
RGD Willis (1973-1984),64,3595,1968,80,4/11,24.60,3.28,44.9,4,0,0,1,1,0
JE Emburey (1980-1993),61,3425,2346,76,4/37,30.86,4.10,45.0,2,0,0,1,0,0
SJ Harmison (2002-2009),57,2899,2481,76,5/33,32.64,5.13,38.1,2,1,0,1,0,1
AR Caddick (1993-2003),53,2937,1965,69,4/19,28.47,4.01,42.5,3,0,0,1,0,0
MA Ealham (1996-2001),62,3227,2197,67,5/15,32.79,4.08,48.1,1,2,0,1,0,0
CC Lewis (1990-1998),49,2625,1942,66,4/30,29.42,4.43,39.7,4,0,0,1,0,1
C White (1994-2003),50,2364,1726,65,5/21,26.55,4.38,36.3,1,1,0,1,0,1
MM Ali (2014-2018),72,3575,3023,63,3/32,47.98,5.07,56.7,0,0,0,0,0,0
AD Mullally (1996-2001),49,2699,1728,63,4/18,27.42,3.84,42.8,2,0,0,1,1,0
JC Tredwell (2010-2015),44,2104,1666,60,4/41,27.76,4.75,35.0,3,0,0,1,0,1
NA Foster (1984-1989),48,2627,1836,59,3/20,31.11,4.19,44.5,0,0,0,1,0,0
GC Small (1987-1992),53,2793,1942,58,4/31,33.48,4.17,48.1,1,0,0,1,0,0
BA Stokes (2011-2018),55,2181,2205,58,5/61,38.01,6.06,37.6,1,1,0,0,0,1
AF Giles (1997-2005),57,2856,2069,55,5/57,37.61,4.34,51.9,0,1,0,0,0,0
GR Dilley (1979-1988),36,2043,1291,48,4/23,26.89,3.79,42.5,3,0,0,1,1,0
ARC Fraser (1989-1999),42,2392,1412,47,4/22,30.04,3.54,50.8,1,0,0,1,1,0
RDB Croft (1996-2001),49,2466,1743,45,3/51,38.73,4.24,54.8,0,0,0,0,0,0
CM Old (1973-1981),31,1755,999,45,4/8,22.20,3.41,39.0,2,0,0,1,1,1
VJ Marks (1980-1988),32,1838,1135,44,5/20,25.79,3.70,41.7,0,2,0,1,1,0
DR Pringle (1982-1993),44,2379,1677,44,4/42,38.11,4.22,54.0,1,0,0,0,0,0
CJ Jordan (2013-2016),31,1532,1521,43,5/29,35.37,5.95,35.6,0,1,0,0,0,1
DG Cork (1992-2002),32,1772,1368,41,3/27,33.36,4.63,43.2,0,0,0,1,0,0
RS Bopara (2007-2015),74,1860,1523,40,4/38,38.07,4.91,46.5,1,0,0,0,0,0
EE Hemmings (1982-1991),32,1752,1294,37,4/52,34.97,4.43,47.3,1,0,0,1,0,0
DJ Willey (2015-2018),35,1491,1413,37,4/34,38.18,5.68,40.2,1,0,0,0,0,0
GA Gooch (1976-1995),60,2066,1516,36,3/19,42.11,4.40,57.3,0,0,0,0,0,0
M Hendrick (1973-1981),22,1248,681,35,5/31,19.45,3.27,35.6,2,1,0,1,1,1
MJ Hoggard (2001-2006),26,1306,1152,32,5/49,36.00,5.29,40.8,0,1,0,0,0,0
AJ Hollioake (1996-1999),32,1208,1019,32,4/23,31.84,5.06,37.7,2,0,0,1,0,1
DL Underwood (1973-1982),24,1278,734,32,4/44,22.93,3.44,39.9,1,0,0,1,1,1
JW Dernbach (2011-2013),24,1234,1308,31,4/45,42.19,6.35,39.8,1,0,0,0,0,1
GA Hick (1991-2001),47,1236,1026,30,5/33,34.20,4.98,41.2,0,1,0,1,0,0
RK Illingworth (1991-1996),25,1501,1059,30,3/33,35.30,4.23,50.0,0,0,0,0,0,0
SI Mahmood (2004-2009),25,1197,1169,30,4/50,38.96,5.85,39.9,1,0,0,0,0,1
RJ Sidebottom (2001-2010),25,1277,1039,29,3/19,35.82,4.88,44.0,0,0,0,0,0,0
MA Wood (2015-2018),28,1465,1334,29,4/33,46.00,5.46,50.5,1,0,0,0,0,0
PJ Martin (1995-1998),20,1048,806,27,4/44,29.85,4.61,38.8,1,0,0,1,0,1
PH Edmonds (1977-1987),27,1534,965,26,3/39,37.11,3.77,59.0,0,0,0,0,1,0
G Miller (1977-1984),24,1268,813,25,3/27,32.52,3.84,50.7,0,0,0,1,1,0
ID Blackwell (2002-2006),26,1230,877,24,3/26,36.54,4.27,51.2,0,0,0,0,0,0
