Player,Innings Fielded,Fielding Dismissals Made,Catches Taken,Stumpings Made,Catches As A Keeper,Catches As A Fielder,Max Dismissals In An Innings,Dismissals Per Innings
AJ Stewart (1989-2003),169,174,159,15,148,11,6 (6ct 0st),1.029
JC Buttler (2012-2018),108,160,141,19,141,0,6 (6ct 0st),1.481
PD Collingwood (2001-2011),197,108,108,0,0,108,3 (3ct 0st),0.548
MJ Prior (2004-2011),68,79,71,8,69,2,6 (6ct 0st),1.161
GO Jones (2004-2006),49,72,68,4,68,0,5 (5ct 0st),1.469
EJG Morgan (2009-2018),176,66,66,0,3,63,3 (3ct 0st),0.375
C Kieswetter (2010-2013),45,65,53,12,52,1,5 (2ct 3st),1.444
GA Hick (1991-2001),119,64,64,0,0,64,3 (3ct 0st),0.537
AJ Strauss (2003-2011),127,57,57,0,0,57,3 (3ct 0st),0.448
IR Bell (2004-2015),160,54,54,0,0,54,3 (3ct 0st),0.337
JM Anderson (2002-2015),192,53,53,0,0,53,3 (3ct 0st),0.276
JE Root (2013-2018),107,53,53,0,0,53,2 (2ct 0st),0.495
ME Trescothick (2000-2006),121,49,49,0,4,45,3 (3ct 0st),0.404
RC Russell (1987-1998),40,47,41,6,41,0,3 (3ct 0st),1.175
A Flintoff (1999-2009),137,46,46,0,0,46,3 (3ct 0st),0.335
GA Gooch (1976-1995),125,45,45,0,0,45,2 (2ct 0st),0.360
DI Gower (1978-1991),114,44,44,0,0,44,3 (3ct 0st),0.385
NV Knight (1996-2003),100,44,44,0,0,44,2 (2ct 0st),0.440
CMW Read (2000-2006),35,43,41,2,41,0,5 (5ct 0st),1.228
GP Thorpe (1993-2002),81,42,42,0,0,42,3 (3ct 0st),0.518
N Hussain (1989-2003),88,40,40,0,0,40,2 (2ct 0st),0.454
KP Pietersen (2004-2013),133,39,39,0,0,39,2 (2ct 0st),0.293
IT Botham (1976-1992),116,36,36,0,0,36,2 (2ct 0st),0.310
AN Cook (2006-2014),91,36,36,0,0,36,2 (2ct 0st),0.395
RS Bopara (2007-2015),118,35,35,0,0,35,2 (2ct 0st),0.296
BA Stokes (2011-2018),65,34,34,0,0,34,3 (3ct 0st),0.523
NH Fairbrother (1987-1999),75,33,33,0,0,33,3 (3ct 0st),0.440
RW Taylor (1973-1984),27,32,26,6,26,0,4 (4ct 0st),1.185
CR Woakes (2011-2018),74,32,32,0,0,32,3 (3ct 0st),0.432
AJ Lamb (1982-1992),122,31,31,0,0,31,2 (2ct 0st),0.254
PR Downton (1977-1988),28,29,26,3,26,0,4 (4ct 0st),1.035
GP Swann (2000-2013),78,29,29,0,0,29,3 (3ct 0st),0.371
SCJ Broad (2006-2016),121,27,27,0,0,27,2 (2ct 0st),0.223
PAJ DeFreitas (1987-1997),103,26,26,0,0,26,2 (2ct 0st),0.252
RA Smith (1988-1996),71,26,26,0,0,26,2 (2ct 0st),0.366
DW Randall (1976-1985),49,25,25,0,0,25,2 (2ct 0st),0.510
MP Vaughan (2001-2007),85,25,25,0,0,25,3 (3ct 0st),0.294
MM Ali (2014-2018),74,24,24,0,0,24,3 (3ct 0st),0.324
JM Bairstow (2011-2018),43,24,22,2,8,14,3 (2ct 1st),0.558
D Gough (1994-2006),156,24,24,0,0,24,1 (1ct 0st),0.153
PA Nixon (2007-2007),19,23,20,3,20,0,2 (2ct 0st),1.210
MW Gatting (1977-1993),92,22,22,0,0,22,2 (2ct 0st),0.239
AF Giles (1997-2005),62,22,22,0,0,22,3 (3ct 0st),0.354
AD Hales (2014-2018),60,22,22,0,0,22,2 (2ct 0st),0.366
LE Plunkett (2005-2018),66,22,22,0,0,22,2 (2ct 0st),0.333
RGD Willis (1973-1984),64,22,22,0,0,22,2 (2ct 0st),0.343
DL Bairstow (1979-1984),21,21,17,4,17,0,3 (3ct 0st),1.000
JJ Roy (2015-2018),59,21,21,0,0,21,2 (2ct 0st),0.355
OA Shah (2001-2009),71,21,21,0,0,21,2 (2ct 0st),0.295
TT Bresnan (2006-2015),84,20,20,0,0,20,2 (2ct 0st),0.238
JS Foster (2001-2002),11,20,13,7,13,0,3 (2ct 1st),1.818
CC Lewis (1990-1998),53,20,20,0,0,20,2 (2ct 0st),0.377
AU Rashid (2009-2018),65,20,20,0,0,20,3 (3ct 0st),0.307
JE Emburey (1980-1993),61,19,19,0,0,19,2 (2ct 0st),0.311
CJ Jordan (2013-2016),31,19,19,0,0,19,2 (2ct 0st),0.612
IJ Gould (1983-1983),18,18,15,3,15,0,3 (3ct 0st),1.000
LJ Wright (2007-2014),50,18,18,0,0,18,2 (2ct 0st),0.360
CJ Richards (1981-1988),22,17,16,1,16,0,3 (3ct 0st),0.772
DJ Willey (2015-2018),35,17,17,0,0,17,2 (2ct 0st),0.485
CWJ Athey (1980-1988),31,16,16,0,0,16,3 (3ct 0st),0.516
BN French (1985-1988),13,16,13,3,13,0,3 (3ct 0st),1.230
APE Knott (1971-1977),19,16,15,1,15,0,4 (4ct 0st),0.842
VS Solanki (2000-2006),50,16,16,0,0,16,2 (2ct 0st),0.320
MA Atherton (1990-1998),54,15,15,0,0,15,2 (2ct 0st),0.277
ST Finn (2011-2017),67,15,15,0,0,15,2 (2ct 0st),0.223
JC Tredwell (2010-2015),44,14,14,0,0,14,2 (2ct 0st),0.318
IJL Trott (2009-2013),66,14,14,0,0,14,2 (2ct 0st),0.212
AJ Hollioake (1996-1999),35,13,13,0,0,13,3 (3ct 0st),0.371
SW Billings (2015-2018),14,12,12,0,4,8,2 (2ct 0st),0.857
JM Brearley (1977-1980),25,12,12,0,0,12,2 (2ct 0st),0.480
JWM Dalrymple (2006-2007),27,12,12,0,0,12,2 (2ct 0st),0.444
NA Foster (1984-1989),48,12,12,0,0,12,2 (2ct 0st),0.250
